# x_m, y_m, vx_mps, psi_rad, kappa_radpm
-3.4764678, -11.0427825, 4.4960692, -2.3996619, 0.1368346
-3.4084522, -11.1159372, 4.4982111, -2.3852675, 0.1509062
-3.3393819, -11.1880198, 4.5009554, -2.3695559, 0.1669907
-3.2696750, -11.2583785, 4.5053029, -2.3517245, 0.1922260
-3.1975878, -11.3284063, 4.5096504, -2.3313480, 0.2122967
-3.1249383, -11.3960461, 4.5150963, -2.3092273, 0.2372913
-3.0509483, -11.4617592, 4.5213982, -2.2843720, 0.2637283
-2.9733455, -11.5271020, 4.5277001, -2.2565798, 0.2828464
-2.8962457, -11.5883800, 4.5351016, -2.2277298, 0.3053380
-2.8171201, -11.6474769, 4.5429847, -2.1965339, 0.3250601
